"","Age","Risk.factor","Sex","variable","value"
"2402",15,"BRCA","Male","Hypertension",1
"2403",20,"BRCA","Male","Hypertension",1
"2404",25,"BRCA","Male","Hypertension",1
"2405",30,"BRCA","Male","Hypertension",1
"2406",35,"BRCA","Male","Hypertension",1
"2407",40,"BRCA","Male","Hypertension",1
"2408",45,"BRCA","Male","Hypertension",1
"2409",50,"BRCA","Male","Hypertension",1
"2410",55,"BRCA","Male","Hypertension",1
"2411",60,"BRCA","Male","Hypertension",1
"2412",65,"BRCA","Male","Hypertension",1
"2413",70,"BRCA","Male","Hypertension",1
"2414",75,"BRCA","Male","Hypertension",1
"2415",80,"BRCA","Male","Hypertension",1
"2416",85,"BRCA","Male","Hypertension",1
"2417",0,"BRCA","Male","InfluenzaPneumonia",1
"2418",15,"BRCA","Male","InfluenzaPneumonia",1
"2419",20,"BRCA","Male","InfluenzaPneumonia",1
"2420",25,"BRCA","Male","InfluenzaPneumonia",1
"2421",30,"BRCA","Male","InfluenzaPneumonia",1
"2422",35,"BRCA","Male","InfluenzaPneumonia",1
"2423",40,"BRCA","Male","InfluenzaPneumonia",1
"2424",45,"BRCA","Male","InfluenzaPneumonia",1
"2425",50,"BRCA","Male","InfluenzaPneumonia",1
"2426",55,"BRCA","Male","InfluenzaPneumonia",1
"2427",60,"BRCA","Male","InfluenzaPneumonia",1
"2428",65,"BRCA","Male","InfluenzaPneumonia",1
"2429",70,"BRCA","Male","InfluenzaPneumonia",1
"2430",75,"BRCA","Male","InfluenzaPneumonia",1
"2431",80,"BRCA","Male","InfluenzaPneumonia",1
"2432",85,"BRCA","Male","InfluenzaPneumonia",1
"2433",0,"BRCA","Male","LungCancer",1
"2434",15,"BRCA","Male","LungCancer",1
"2435",20,"BRCA","Male","LungCancer",1
"2436",25,"BRCA","Male","LungCancer",1
"2437",30,"BRCA","Male","LungCancer",1
"2438",35,"BRCA","Male","LungCancer",1
"2439",40,"BRCA","Male","LungCancer",1
"2440",45,"BRCA","Male","LungCancer",1
"2441",50,"BRCA","Male","LungCancer",1
"2442",55,"BRCA","Male","LungCancer",1
"2443",60,"BRCA","Male","LungCancer",1
"2444",65,"BRCA","Male","LungCancer",1
"2445",70,"BRCA","Male","LungCancer",1
"2446",75,"BRCA","Male","LungCancer",1
"2447",80,"BRCA","Male","LungCancer",1
"2448",85,"BRCA","Male","LungCancer",1
"2449",0,"BRCA","Male","MaternalMortality",1
"2450",15,"BRCA","Male","MaternalMortality",1
"2451",20,"BRCA","Male","MaternalMortality",1
"2452",25,"BRCA","Male","MaternalMortality",1
"2453",30,"BRCA","Male","MaternalMortality",1
"2454",35,"BRCA","Male","MaternalMortality",1
"2455",40,"BRCA","Male","MaternalMortality",1
"2456",45,"BRCA","Male","MaternalMortality",1
"2457",50,"BRCA","Male","MaternalMortality",1
"2458",55,"BRCA","Male","MaternalMortality",1
"2459",60,"BRCA","Male","MaternalMortality",1
"2460",65,"BRCA","Male","MaternalMortality",1
"2461",70,"BRCA","Male","MaternalMortality",1
"2462",75,"BRCA","Male","MaternalMortality",1
"2463",80,"BRCA","Male","MaternalMortality",1
"2464",85,"BRCA","Male","MaternalMortality",1
"2465",0,"BRCA","Male","OtherCancer",1
"2466",15,"BRCA","Male","OtherCancer",1
"2467",20,"BRCA","Male","OtherCancer",1
"2468",25,"BRCA","Male","OtherCancer",1
"2469",30,"BRCA","Male","OtherCancer",1
"2470",35,"BRCA","Male","OtherCancer",1
"2471",40,"BRCA","Male","OtherCancer",1
"2472",45,"BRCA","Male","OtherCancer",1
"2473",50,"BRCA","Male","OtherCancer",1
"2474",55,"BRCA","Male","OtherCancer",1
"2475",60,"BRCA","Male","OtherCancer",1
"2476",65,"BRCA","Male","OtherCancer",1
"2477",70,"BRCA","Male","OtherCancer",1
"2478",75,"BRCA","Male","OtherCancer",1
"2479",80,"BRCA","Male","OtherCancer",1
"2480",85,"BRCA","Male","OtherCancer",1
"2481",0,"BRCA","Male","Overdose",1
"2482",15,"BRCA","Male","Overdose",1
"2483",20,"BRCA","Male","Overdose",1
"2484",25,"BRCA","Male","Overdose",1
"2485",30,"BRCA","Male","Overdose",1
"2486",35,"BRCA","Male","Overdose",1
"2487",40,"BRCA","Male","Overdose",1
"2488",45,"BRCA","Male","Overdose",1
"2489",50,"BRCA","Male","Overdose",1
"2490",55,"BRCA","Male","Overdose",1
"2491",60,"BRCA","Male","Overdose",1
"2492",65,"BRCA","Male","Overdose",1
"2493",70,"BRCA","Male","Overdose",1
"2494",75,"BRCA","Male","Overdose",1
"2495",80,"BRCA","Male","Overdose",1
"2496",85,"BRCA","Male","Overdose",1
"2497",0,"BRCA","Male","Parkinsons",1
"2498",15,"BRCA","Male","Parkinsons",1
"2499",20,"BRCA","Male","Parkinsons",1
"2500",25,"BRCA","Male","Parkinsons",1
"2501",30,"BRCA","Male","Parkinsons",1
"2502",35,"BRCA","Male","Parkinsons",1
"2503",40,"BRCA","Male","Parkinsons",1
"2504",45,"BRCA","Male","Parkinsons",1
"2505",50,"BRCA","Male","Parkinsons",1
"2506",55,"BRCA","Male","Parkinsons",1
"2507",60,"BRCA","Male","Parkinsons",1
"2508",65,"BRCA","Male","Parkinsons",1
"2509",70,"BRCA","Male","Parkinsons",1
"2510",75,"BRCA","Male","Parkinsons",1
"2511",80,"BRCA","Male","Parkinsons",1
"2512",85,"BRCA","Male","Parkinsons",1
"2513",0,"BRCA","Male","ProstateCancer",1
"2514",15,"BRCA","Male","ProstateCancer",1
"2515",20,"BRCA","Male","ProstateCancer",1
"2516",25,"BRCA","Male","ProstateCancer",1
"2517",30,"BRCA","Male","ProstateCancer",1
"2518",35,"BRCA","Male","ProstateCancer",1
"2519",40,"BRCA","Male","ProstateCancer",1
"2520",45,"BRCA","Male","ProstateCancer",1
"2521",50,"BRCA","Male","ProstateCancer",1
"2522",55,"BRCA","Male","ProstateCancer",1
"2523",60,"BRCA","Male","ProstateCancer",1
"2524",65,"BRCA","Male","ProstateCancer",1
"2525",70,"BRCA","Male","ProstateCancer",1
"2526",75,"BRCA","Male","ProstateCancer",1
"2527",80,"BRCA","Male","ProstateCancer",1
"2528",85,"BRCA","Male","ProstateCancer",1
"2529",0,"BRCA","Male","Suicide",4.35
"2530",15,"BRCA","Male","Suicide",4.35
"2531",20,"BRCA","Male","Suicide",4.35
"2532",25,"BRCA","Male","Suicide",4.35
"2533",30,"BRCA","Male","Suicide",4.35
"2534",35,"BRCA","Male","Suicide",4.35
"2535",40,"BRCA","Male","Suicide",4.35
"2536",45,"BRCA","Male","Suicide",4.35
"2537",50,"BRCA","Male","Suicide",4.35
"2538",55,"BRCA","Male","Suicide",4.35
"2539",60,"BRCA","Male","Suicide",4.35
"2540",65,"BRCA","Male","Suicide",4.35
"2541",70,"BRCA","Male","Suicide",4.35
"2542",75,"BRCA","Male","Suicide",4.35
"2543",80,"BRCA","Male","Suicide",4.35
"2544",85,"BRCA","Male","Suicide",4.35
"2545",0,"BRCA","Male","Type2Diabetes",1
"2546",15,"BRCA","Male","Type2Diabetes",1
"2547",20,"BRCA","Male","Type2Diabetes",1
"2548",25,"BRCA","Male","Type2Diabetes",1
"2549",30,"BRCA","Male","Type2Diabetes",1
"2550",35,"BRCA","Male","Type2Diabetes",1
"2551",40,"BRCA","Male","Type2Diabetes",1
"2552",45,"BRCA","Male","Type2Diabetes",1
"2553",50,"BRCA","Male","Type2Diabetes",1
"2554",55,"BRCA","Male","Type2Diabetes",1
"2555",60,"BRCA","Male","Type2Diabetes",1
"2556",65,"BRCA","Male","Type2Diabetes",1
"2557",70,"BRCA","Male","Type2Diabetes",1
"2558",75,"BRCA","Male","Type2Diabetes",1
"2559",80,"BRCA","Male","Type2Diabetes",1
"2560",85,"BRCA","Male","Type2Diabetes",1
"2561",0,"Cardiovascular","Female","Accident",1
"2562",15,"Cardiovascular","Female","Accident",1
"2563",20,"Cardiovascular","Female","Accident",1
"2564",25,"Cardiovascular","Female","Accident",1
"2565",30,"Cardiovascular","Female","Accident",1
"2566",35,"Cardiovascular","Female","Accident",1
"2567",40,"Cardiovascular","Female","Accident",1
"2568",45,"Cardiovascular","Female","Accident",1
"2569",50,"Cardiovascular","Female","Accident",1
"2570",55,"Cardiovascular","Female","Accident",1
"2571",60,"Cardiovascular","Female","Accident",1
"2572",65,"Cardiovascular","Female","Accident",1
"2573",70,"Cardiovascular","Female","Accident",1
"2574",75,"Cardiovascular","Female","Accident",1
"2575",80,"Cardiovascular","Female","Accident",1
"2576",85,"Cardiovascular","Female","Accident",1
"2577",0,"Cardiovascular","Female","Alzheimers",1
"2578",15,"Cardiovascular","Female","Alzheimers",1
"2579",20,"Cardiovascular","Female","Alzheimers",1
"2580",25,"Cardiovascular","Female","Alzheimers",1
"2581",30,"Cardiovascular","Female","Alzheimers",1
"2582",35,"Cardiovascular","Female","Alzheimers",1
"2583",40,"Cardiovascular","Female","Alzheimers",1
"2584",45,"Cardiovascular","Female","Alzheimers",1
"2585",50,"Cardiovascular","Female","Alzheimers",1
"2586",55,"Cardiovascular","Female","Alzheimers",1
"2587",60,"Cardiovascular","Female","Alzheimers",1
"2588",65,"Cardiovascular","Female","Alzheimers",1
"2589",70,"Cardiovascular","Female","Alzheimers",1
"2590",75,"Cardiovascular","Female","Alzheimers",1
"2591",80,"Cardiovascular","Female","Alzheimers",1
"2592",85,"Cardiovascular","Female","Alzheimers",1
"2593",0,"Cardiovascular","Female","Assault",1
"2594",15,"Cardiovascular","Female","Assault",1
"2595",20,"Cardiovascular","Female","Assault",1
"2596",25,"Cardiovascular","Female","Assault",1
"2597",30,"Cardiovascular","Female","Assault",1
"2598",35,"Cardiovascular","Female","Assault",1
"2599",40,"Cardiovascular","Female","Assault",1
"2600",45,"Cardiovascular","Female","Assault",1
"2601",50,"Cardiovascular","Female","Assault",1
"2602",55,"Cardiovascular","Female","Assault",1
"2603",60,"Cardiovascular","Female","Assault",1
"2604",65,"Cardiovascular","Female","Assault",1
"2605",70,"Cardiovascular","Female","Assault",1
"2606",75,"Cardiovascular","Female","Assault",1
"2607",80,"Cardiovascular","Female","Assault",1
"2608",85,"Cardiovascular","Female","Assault",1
"2609",0,"Cardiovascular","Female","BreastCancer",1
"2610",15,"Cardiovascular","Female","BreastCancer",1
"2611",20,"Cardiovascular","Female","BreastCancer",1
"2612",25,"Cardiovascular","Female","BreastCancer",1
"2613",30,"Cardiovascular","Female","BreastCancer",1
"2614",35,"Cardiovascular","Female","BreastCancer",1
"2615",40,"Cardiovascular","Female","BreastCancer",1
"2616",45,"Cardiovascular","Female","BreastCancer",1
"2617",50,"Cardiovascular","Female","BreastCancer",1
"2618",55,"Cardiovascular","Female","BreastCancer",1
"2619",60,"Cardiovascular","Female","BreastCancer",1
"2620",65,"Cardiovascular","Female","BreastCancer",1
"2621",70,"Cardiovascular","Female","BreastCancer",1
"2622",75,"Cardiovascular","Female","BreastCancer",1
"2623",80,"Cardiovascular","Female","BreastCancer",1
"2624",85,"Cardiovascular","Female","BreastCancer",1
"2625",0,"Cardiovascular","Female","CerebrovascularDisease",1
"2626",15,"Cardiovascular","Female","CerebrovascularDisease",1
"2627",20,"Cardiovascular","Female","CerebrovascularDisease",1
"2628",25,"Cardiovascular","Female","CerebrovascularDisease",1
"2629",30,"Cardiovascular","Female","CerebrovascularDisease",1
"2630",35,"Cardiovascular","Female","CerebrovascularDisease",1
"2631",40,"Cardiovascular","Female","CerebrovascularDisease",1
"2632",45,"Cardiovascular","Female","CerebrovascularDisease",1
"2633",50,"Cardiovascular","Female","CerebrovascularDisease",1
"2634",55,"Cardiovascular","Female","CerebrovascularDisease",1
"2635",60,"Cardiovascular","Female","CerebrovascularDisease",1
"2636",65,"Cardiovascular","Female","CerebrovascularDisease",1
"2637",70,"Cardiovascular","Female","CerebrovascularDisease",1
"2638",75,"Cardiovascular","Female","CerebrovascularDisease",1
"2639",80,"Cardiovascular","Female","CerebrovascularDisease",1
"2640",85,"Cardiovascular","Female","CerebrovascularDisease",1
"2641",0,"Cardiovascular","Female","CervicalCancer",1
"2642",15,"Cardiovascular","Female","CervicalCancer",1
"2643",20,"Cardiovascular","Female","CervicalCancer",1
"2644",25,"Cardiovascular","Female","CervicalCancer",1
"2645",30,"Cardiovascular","Female","CervicalCancer",1
"2646",35,"Cardiovascular","Female","CervicalCancer",1
"2647",40,"Cardiovascular","Female","CervicalCancer",1
"2648",45,"Cardiovascular","Female","CervicalCancer",1
"2649",50,"Cardiovascular","Female","CervicalCancer",1
"2650",55,"Cardiovascular","Female","CervicalCancer",1
"2651",60,"Cardiovascular","Female","CervicalCancer",1
"2652",65,"Cardiovascular","Female","CervicalCancer",1
"2653",70,"Cardiovascular","Female","CervicalCancer",1
"2654",75,"Cardiovascular","Female","CervicalCancer",1
"2655",80,"Cardiovascular","Female","CervicalCancer",1
"2656",85,"Cardiovascular","Female","CervicalCancer",1
"2657",0,"Cardiovascular","Female","ChronicLiverDisease",1
"2658",15,"Cardiovascular","Female","ChronicLiverDisease",1
"2659",20,"Cardiovascular","Female","ChronicLiverDisease",1
"2660",25,"Cardiovascular","Female","ChronicLiverDisease",1
"2661",30,"Cardiovascular","Female","ChronicLiverDisease",1
"2662",35,"Cardiovascular","Female","ChronicLiverDisease",1
"2663",40,"Cardiovascular","Female","ChronicLiverDisease",1
"2664",45,"Cardiovascular","Female","ChronicLiverDisease",1
"2665",50,"Cardiovascular","Female","ChronicLiverDisease",1
"2666",55,"Cardiovascular","Female","ChronicLiverDisease",1
"2667",60,"Cardiovascular","Female","ChronicLiverDisease",1
"2668",65,"Cardiovascular","Female","ChronicLiverDisease",1
"2669",70,"Cardiovascular","Female","ChronicLiverDisease",1
"2670",75,"Cardiovascular","Female","ChronicLiverDisease",1
"2671",80,"Cardiovascular","Female","ChronicLiverDisease",1
"2672",85,"Cardiovascular","Female","ChronicLiverDisease",1
"2673",0,"Cardiovascular","Female","ChronicLowerRespiratoryDisease",1
"2674",15,"Cardiovascular","Female","ChronicLowerRespiratoryDisease",1
"2675",20,"Cardiovascular","Female","ChronicLowerRespiratoryDisease",1
"2676",25,"Cardiovascular","Female","ChronicLowerRespiratoryDisease",1
"2677",30,"Cardiovascular","Female","ChronicLowerRespiratoryDisease",1
"2678",35,"Cardiovascular","Female","ChronicLowerRespiratoryDisease",1
"2679",40,"Cardiovascular","Female","ChronicLowerRespiratoryDisease",1
"2680",45,"Cardiovascular","Female","ChronicLowerRespiratoryDisease",1
"2681",50,"Cardiovascular","Female","ChronicLowerRespiratoryDisease",1
"2682",55,"Cardiovascular","Female","ChronicLowerRespiratoryDisease",1
"2683",60,"Cardiovascular","Female","ChronicLowerRespiratoryDisease",1
"2684",65,"Cardiovascular","Female","ChronicLowerRespiratoryDisease",1
"2685",70,"Cardiovascular","Female","ChronicLowerRespiratoryDisease",1
"2686",75,"Cardiovascular","Female","ChronicLowerRespiratoryDisease",1
"2687",80,"Cardiovascular","Female","ChronicLowerRespiratoryDisease",1
"2688",85,"Cardiovascular","Female","ChronicLowerRespiratoryDisease",1
"2689",0,"Cardiovascular","Female","ColorectalCancer",1
"2690",15,"Cardiovascular","Female","ColorectalCancer",1
"2691",20,"Cardiovascular","Female","ColorectalCancer",1
"2692",25,"Cardiovascular","Female","ColorectalCancer",1
"2693",30,"Cardiovascular","Female","ColorectalCancer",1
"2694",35,"Cardiovascular","Female","ColorectalCancer",1
"2695",40,"Cardiovascular","Female","ColorectalCancer",1
"2696",45,"Cardiovascular","Female","ColorectalCancer",1
"2697",50,"Cardiovascular","Female","ColorectalCancer",1
"2698",55,"Cardiovascular","Female","ColorectalCancer",1
"2699",60,"Cardiovascular","Female","ColorectalCancer",1
"2700",65,"Cardiovascular","Female","ColorectalCancer",1
"2701",70,"Cardiovascular","Female","ColorectalCancer",1
"2702",75,"Cardiovascular","Female","ColorectalCancer",1
"2703",80,"Cardiovascular","Female","ColorectalCancer",1
"2704",85,"Cardiovascular","Female","ColorectalCancer",1
"2705",0,"Cardiovascular","Female","HeartDiseases",1
"2706",15,"Cardiovascular","Female","HeartDiseases",1
"2707",20,"Cardiovascular","Female","HeartDiseases",1
"2708",25,"Cardiovascular","Female","HeartDiseases",1
"2709",30,"Cardiovascular","Female","HeartDiseases",1
"2710",35,"Cardiovascular","Female","HeartDiseases",1
"2711",40,"Cardiovascular","Female","HeartDiseases",1
"2712",45,"Cardiovascular","Female","HeartDiseases",1
"2713",50,"Cardiovascular","Female","HeartDiseases",1
"2714",55,"Cardiovascular","Female","HeartDiseases",1
"2715",60,"Cardiovascular","Female","HeartDiseases",1
"2716",65,"Cardiovascular","Female","HeartDiseases",1
"2717",70,"Cardiovascular","Female","HeartDiseases",1
"2718",75,"Cardiovascular","Female","HeartDiseases",1
"2719",80,"Cardiovascular","Female","HeartDiseases",1
"2720",85,"Cardiovascular","Female","HeartDiseases",1
"2721",0,"Cardiovascular","Female","Hypertension",1
"2722",15,"Cardiovascular","Female","Hypertension",1
"2723",20,"Cardiovascular","Female","Hypertension",1
"2724",25,"Cardiovascular","Female","Hypertension",1
"2725",30,"Cardiovascular","Female","Hypertension",1
"2726",35,"Cardiovascular","Female","Hypertension",1
"2727",40,"Cardiovascular","Female","Hypertension",1
"2728",45,"Cardiovascular","Female","Hypertension",1
"2729",50,"Cardiovascular","Female","Hypertension",1
"2730",55,"Cardiovascular","Female","Hypertension",1
"2731",60,"Cardiovascular","Female","Hypertension",1
"2732",65,"Cardiovascular","Female","Hypertension",1
"2733",70,"Cardiovascular","Female","Hypertension",1
"2734",75,"Cardiovascular","Female","Hypertension",1
"2735",80,"Cardiovascular","Female","Hypertension",1
"2736",85,"Cardiovascular","Female","Hypertension",1
"2737",0,"Cardiovascular","Female","InfluenzaPneumonia",1
"2738",15,"Cardiovascular","Female","InfluenzaPneumonia",1
"2739",20,"Cardiovascular","Female","InfluenzaPneumonia",1
"2740",25,"Cardiovascular","Female","InfluenzaPneumonia",1
"2741",30,"Cardiovascular","Female","InfluenzaPneumonia",1
"2742",35,"Cardiovascular","Female","InfluenzaPneumonia",1
"2743",40,"Cardiovascular","Female","InfluenzaPneumonia",1
"2744",45,"Cardiovascular","Female","InfluenzaPneumonia",1
"2745",50,"Cardiovascular","Female","InfluenzaPneumonia",1
"2746",55,"Cardiovascular","Female","InfluenzaPneumonia",1
"2747",60,"Cardiovascular","Female","InfluenzaPneumonia",1
"2748",65,"Cardiovascular","Female","InfluenzaPneumonia",1
"2749",70,"Cardiovascular","Female","InfluenzaPneumonia",1
"2750",75,"Cardiovascular","Female","InfluenzaPneumonia",1
"2751",80,"Cardiovascular","Female","InfluenzaPneumonia",1
"2752",85,"Cardiovascular","Female","InfluenzaPneumonia",1
"2753",0,"Cardiovascular","Female","LungCancer",1
"2754",15,"Cardiovascular","Female","LungCancer",1
"2755",20,"Cardiovascular","Female","LungCancer",1
"2756",25,"Cardiovascular","Female","LungCancer",1
"2757",30,"Cardiovascular","Female","LungCancer",1
"2758",35,"Cardiovascular","Female","LungCancer",1
"2759",40,"Cardiovascular","Female","LungCancer",1
"2760",45,"Cardiovascular","Female","LungCancer",1
"2761",50,"Cardiovascular","Female","LungCancer",1
"2762",55,"Cardiovascular","Female","LungCancer",1
"2763",60,"Cardiovascular","Female","LungCancer",1
"2764",65,"Cardiovascular","Female","LungCancer",1
"2765",70,"Cardiovascular","Female","LungCancer",1
"2766",75,"Cardiovascular","Female","LungCancer",1
"2767",80,"Cardiovascular","Female","LungCancer",1
"2768",85,"Cardiovascular","Female","LungCancer",1
"2769",0,"Cardiovascular","Female","MaternalMortality",55.3
"2770",15,"Cardiovascular","Female","MaternalMortality",55.3
"2771",20,"Cardiovascular","Female","MaternalMortality",55.3
"2772",25,"Cardiovascular","Female","MaternalMortality",55.3
"2773",30,"Cardiovascular","Female","MaternalMortality",55.3
"2774",35,"Cardiovascular","Female","MaternalMortality",55.3
"2775",40,"Cardiovascular","Female","MaternalMortality",55.3
"2776",45,"Cardiovascular","Female","MaternalMortality",55.3
"2777",50,"Cardiovascular","Female","MaternalMortality",55.3
"2778",55,"Cardiovascular","Female","MaternalMortality",55.3
"2779",60,"Cardiovascular","Female","MaternalMortality",55.3
"2780",65,"Cardiovascular","Female","MaternalMortality",55.3
"2781",70,"Cardiovascular","Female","MaternalMortality",55.3
"2782",75,"Cardiovascular","Female","MaternalMortality",55.3
"2783",80,"Cardiovascular","Female","MaternalMortality",55.3
"2784",85,"Cardiovascular","Female","MaternalMortality",55.3
"2785",0,"Cardiovascular","Female","OtherCancer",1
"2786",15,"Cardiovascular","Female","OtherCancer",1
"2787",20,"Cardiovascular","Female","OtherCancer",1
"2788",25,"Cardiovascular","Female","OtherCancer",1
"2789",30,"Cardiovascular","Female","OtherCancer",1
"2790",35,"Cardiovascular","Female","OtherCancer",1
"2791",40,"Cardiovascular","Female","OtherCancer",1
"2792",45,"Cardiovascular","Female","OtherCancer",1
"2793",50,"Cardiovascular","Female","OtherCancer",1
"2794",55,"Cardiovascular","Female","OtherCancer",1
"2795",60,"Cardiovascular","Female","OtherCancer",1
"2796",65,"Cardiovascular","Female","OtherCancer",1
"2797",70,"Cardiovascular","Female","OtherCancer",1
"2798",75,"Cardiovascular","Female","OtherCancer",1
"2799",80,"Cardiovascular","Female","OtherCancer",1
"2800",85,"Cardiovascular","Female","OtherCancer",1
"2801",0,"Cardiovascular","Female","Overdose",1
"2802",15,"Cardiovascular","Female","Overdose",1
"2803",20,"Cardiovascular","Female","Overdose",1
"2804",25,"Cardiovascular","Female","Overdose",1
"2805",30,"Cardiovascular","Female","Overdose",1
"2806",35,"Cardiovascular","Female","Overdose",1
"2807",40,"Cardiovascular","Female","Overdose",1
"2808",45,"Cardiovascular","Female","Overdose",1
"2809",50,"Cardiovascular","Female","Overdose",1
"2810",55,"Cardiovascular","Female","Overdose",1
"2811",60,"Cardiovascular","Female","Overdose",1
"2812",65,"Cardiovascular","Female","Overdose",1
"2813",70,"Cardiovascular","Female","Overdose",1
"2814",75,"Cardiovascular","Female","Overdose",1
"2815",80,"Cardiovascular","Female","Overdose",1
"2816",85,"Cardiovascular","Female","Overdose",1
"2817",0,"Cardiovascular","Female","Parkinsons",1
"2818",15,"Cardiovascular","Female","Parkinsons",1
"2819",20,"Cardiovascular","Female","Parkinsons",1
"2820",25,"Cardiovascular","Female","Parkinsons",1
"2821",30,"Cardiovascular","Female","Parkinsons",1
"2822",35,"Cardiovascular","Female","Parkinsons",1
"2823",40,"Cardiovascular","Female","Parkinsons",1
"2824",45,"Cardiovascular","Female","Parkinsons",1
"2825",50,"Cardiovascular","Female","Parkinsons",1
"2826",55,"Cardiovascular","Female","Parkinsons",1
"2827",60,"Cardiovascular","Female","Parkinsons",1
"2828",65,"Cardiovascular","Female","Parkinsons",1
"2829",70,"Cardiovascular","Female","Parkinsons",1
"2830",75,"Cardiovascular","Female","Parkinsons",1
"2831",80,"Cardiovascular","Female","Parkinsons",1
"2832",85,"Cardiovascular","Female","Parkinsons",1
"2833",0,"Cardiovascular","Female","ProstateCancer",1
"2834",15,"Cardiovascular","Female","ProstateCancer",1
"2835",20,"Cardiovascular","Female","ProstateCancer",1
"2836",25,"Cardiovascular","Female","ProstateCancer",1
"2837",30,"Cardiovascular","Female","ProstateCancer",1
"2838",35,"Cardiovascular","Female","ProstateCancer",1
"2839",40,"Cardiovascular","Female","ProstateCancer",1
"2840",45,"Cardiovascular","Female","ProstateCancer",1
"2841",50,"Cardiovascular","Female","ProstateCancer",1
"2842",55,"Cardiovascular","Female","ProstateCancer",1
"2843",60,"Cardiovascular","Female","ProstateCancer",1
"2844",65,"Cardiovascular","Female","ProstateCancer",1
"2845",70,"Cardiovascular","Female","ProstateCancer",1
"2846",75,"Cardiovascular","Female","ProstateCancer",1
"2847",80,"Cardiovascular","Female","ProstateCancer",1
"2848",85,"Cardiovascular","Female","ProstateCancer",1
"2849",0,"Cardiovascular","Female","Suicide",1
"2850",15,"Cardiovascular","Female","Suicide",1
"2851",20,"Cardiovascular","Female","Suicide",1
"2852",25,"Cardiovascular","Female","Suicide",1
"2853",30,"Cardiovascular","Female","Suicide",1
"2854",35,"Cardiovascular","Female","Suicide",1
"2855",40,"Cardiovascular","Female","Suicide",1
"2856",45,"Cardiovascular","Female","Suicide",1
"2857",50,"Cardiovascular","Female","Suicide",1
"2858",55,"Cardiovascular","Female","Suicide",1
"2859",60,"Cardiovascular","Female","Suicide",1
"2860",65,"Cardiovascular","Female","Suicide",1
"2861",70,"Cardiovascular","Female","Suicide",1
"2862",75,"Cardiovascular","Female","Suicide",1
"2863",80,"Cardiovascular","Female","Suicide",1
"2864",85,"Cardiovascular","Female","Suicide",1
"2865",0,"Cardiovascular","Female","Type2Diabetes",1
"2866",15,"Cardiovascular","Female","Type2Diabetes",1
"2867",20,"Cardiovascular","Female","Type2Diabetes",1
"2868",25,"Cardiovascular","Female","Type2Diabetes",1
"2869",30,"Cardiovascular","Female","Type2Diabetes",1
"2870",35,"Cardiovascular","Female","Type2Diabetes",1
"2871",40,"Cardiovascular","Female","Type2Diabetes",1
"2872",45,"Cardiovascular","Female","Type2Diabetes",1
"2873",50,"Cardiovascular","Female","Type2Diabetes",1
"2874",55,"Cardiovascular","Female","Type2Diabetes",1
"2875",60,"Cardiovascular","Female","Type2Diabetes",1
"2876",65,"Cardiovascular","Female","Type2Diabetes",1
"2877",70,"Cardiovascular","Female","Type2Diabetes",1
"2878",75,"Cardiovascular","Female","Type2Diabetes",1
"2879",80,"Cardiovascular","Female","Type2Diabetes",1
"2880",85,"Cardiovascular","Female","Type2Diabetes",1
"2881",0,"Cardiovascular","Male","Accident",1
"2882",15,"Cardiovascular","Male","Accident",1
"2883",20,"Cardiovascular","Male","Accident",1
"2884",25,"Cardiovascular","Male","Accident",1
"2885",30,"Cardiovascular","Male","Accident",1
"2886",35,"Cardiovascular","Male","Accident",1
"2887",40,"Cardiovascular","Male","Accident",1
"2888",45,"Cardiovascular","Male","Accident",1
"2889",50,"Cardiovascular","Male","Accident",1
"2890",55,"Cardiovascular","Male","Accident",1
"2891",60,"Cardiovascular","Male","Accident",1
"2892",65,"Cardiovascular","Male","Accident",1
"2893",70,"Cardiovascular","Male","Accident",1
"2894",75,"Cardiovascular","Male","Accident",1
"2895",80,"Cardiovascular","Male","Accident",1
"2896",85,"Cardiovascular","Male","Accident",1
"2897",0,"Cardiovascular","Male","Alzheimers",1
"2898",15,"Cardiovascular","Male","Alzheimers",1
"2899",20,"Cardiovascular","Male","Alzheimers",1
"2900",25,"Cardiovascular","Male","Alzheimers",1
"2901",30,"Cardiovascular","Male","Alzheimers",1
"2902",35,"Cardiovascular","Male","Alzheimers",1
"2903",40,"Cardiovascular","Male","Alzheimers",1
"2904",45,"Cardiovascular","Male","Alzheimers",1
"2905",50,"Cardiovascular","Male","Alzheimers",1
"2906",55,"Cardiovascular","Male","Alzheimers",1
"2907",60,"Cardiovascular","Male","Alzheimers",1
"2908",65,"Cardiovascular","Male","Alzheimers",1
"2909",70,"Cardiovascular","Male","Alzheimers",1
"2910",75,"Cardiovascular","Male","Alzheimers",1
"2911",80,"Cardiovascular","Male","Alzheimers",1
"2912",85,"Cardiovascular","Male","Alzheimers",1
"2913",0,"Cardiovascular","Male","Assault",1
"2914",15,"Cardiovascular","Male","Assault",1
"2915",20,"Cardiovascular","Male","Assault",1
"2916",25,"Cardiovascular","Male","Assault",1
"2917",30,"Cardiovascular","Male","Assault",1
"2918",35,"Cardiovascular","Male","Assault",1
"2919",40,"Cardiovascular","Male","Assault",1
"2920",45,"Cardiovascular","Male","Assault",1
"2921",50,"Cardiovascular","Male","Assault",1
"2922",55,"Cardiovascular","Male","Assault",1
"2923",60,"Cardiovascular","Male","Assault",1
"2924",65,"Cardiovascular","Male","Assault",1
